GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
249976FB,BE0003816338,SELL,8.8843,2021-10-14 08:23:29.000,2021-10-14 16:35:27.000,XBRU,EUR,EUR,,EQTY,ORD,Euronav,787,E:EURN
4FF5985C,FR0000127771,SELL,11.0035,2021-10-14 08:23:29.000,2021-10-14 16:35:19.000,XPAR,EUR,EUR,,EQTY,ORD,Vivendi,787,E:VIV
0C214D9F,FR0000121014,BUY,662.5223,2021-10-14 08:23:29.000,2021-10-14 16:35:18.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
8285E51A,US12572Q1058,BUY,202.4709,2021-10-13 15:40:48.000,2021-10-13 20:59:54.000,XNGS,USD,USD,,SWAP,CFD_OLD,CME -CFD,564,CME
A08A97C2,US97717P1049,BUY,5.4067,2021-10-13 15:40:48.000,2021-10-13 20:59:53.000,XNGS,USD,USD,,SWAP,CFD_OLD,WisdomTree Investments -CFD,564,WETF
023104DE,US4523271090,BUY,405.5775,2021-10-13 15:40:48.000,2021-10-13 20:59:50.000,XNGS,USD,USD,,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
BD3A4882,US88160R1014,BUY,809.5159,2021-10-13 15:40:48.000,2021-10-13 20:58:58.000,XNGS,USD,USD,,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
6BB257E5,US64110L1061,BUY,626.9438,2021-10-13 15:40:48.000,2021-10-13 20:59:27.000,XNGS,USD,USD,,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
1A4BEA7F,US98980L1017,BUY,266.1468,2021-10-13 15:40:48.000,2021-10-13 20:59:36.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
8DEF1428,US38046C1099,BUY,16.6319,2021-10-13 15:40:48.000,2021-10-13 20:59:53.000,XNGS,USD,USD,,SWAP,CFD_OLD,Gogo -CFD,564,GOGO
