time,open,high,low,close,Volume,Volume MA
1412688600,1962.36,1962.36,1934.87,1935.1,3687870000,3416078500
1412775000,1935.55,1970.36,1925.25,1968.89,4441890000,3492551500
1412861400,1967.68,1967.68,1927.56,1928.21,4344020000,3562668000
1412947800,1925.63,1936.98,1906.05,1906.13,4550540000,3629866500
1413207000,1905.65,1912.09,1874.14,1874.74,4352580000,3708669000
1413293400,1877.11,1898.71,1871.79,1877.7,4812010000,3791254000
1413379800,1874.18,1874.18,1820.66,1862.49,6090800000,3935323000
1413466200,1855.95,1876.01,1835.02,1862.76,5073150000,4027213500
1413552600,1864.91,1898.16,1864.91,1886.76,4482120000,4007308500
1413811800,1885.62,1905.03,1882.3,1904.01,3331210000,4006385500
1413898200,1909.38,1942.45,1909.38,1941.28,3987090000,4041772500
1413984600,1941.29,1949.31,1926.83,1927.11,3761930000,4064176500
1414071000,1931.02,1961.95,1931.02,1950.82,3789250000,4089986500
1414157400,1951.59,1965.27,1946.27,1964.58,3078380000,4097433500
1414416600,1962.97,1964.64,1951.37,1961.63,3538860000,4119654500
1414503000,1964.14,1985.05,1964.14,1985.05,3653260000,4104762500
1414589400,1983.29,1991.4,1969.04,1982.3,3740350000,4082350500
1414675800,1979.49,1999.4,1974.75,1994.65,3586150000,4061032500
1414762200,2001.2,2018.19,2001.2,2018.05,4292290000,4097598500
1415025000,2018.21,2024.46,2013.68,2017.81,3555440000,4107459500
1415111400,2015.81,2015.98,2001.01,2012.1,3956260000,4120879000
1415197800,2015.29,2023.77,2014.42,2023.57,3766590000,4087114000
1415284200,2023.33,2031.61,2015.86,2031.21,3669770000,4053401500
1415370600,2032.36,2034.26,2025.07,2031.92,3704280000,4011088500
1415629800,2032.01,2038.7,2030.17,2038.26,3284940000,3957706500
1415716200,2038.2,2041.28,2035.28,2039.68,2958320000,3865022000
1415802600,2037.75,2040.33,2031.95,2038.25,3246650000,3722814500
1415889000,2039.21,2046.18,2030.44,2039.33,3455270000,3641920500
1415975400,2039.74,2042.22,2035.2,2039.82,3227130000,3579171000
1416234600,2038.29,2043.07,2034.46,2041.32,3152890000,3570255000
1416321000,2041.48,2056.08,2041.48,2051.8,3416190000,3541710000
1416407400,2051.16,2052.14,2040.37,2048.72,3390850000,3523156000
1416493800,2045.87,2053.84,2040.49,2052.75,3128290000,3490108000
1416580200,2057.46,2071.46,2056.75,2063.5,3916420000,3532010000
1416839400,2065.07,2070.17,2065.07,2069.41,3128060000,3511470000
1416925800,2070.15,2074.21,2064.75,2067.03,3392940000,3498454000
1417012200,2067.36,2073.29,2066.62,2072.83,2745260000,3448699500
1417185000,2074.78,2075.76,2065.06,2067.56,2504640000,3394624000
1417444200,2065.78,2065.78,2049.57,2053.44,4159010000,3387960000
1417530600,2053.77,2068.77,2053.77,2066.55,3686650000,3394520500
1417617000,2067.45,2076.28,2066.65,2074.33,3612680000,3377341500
1417703400,2073.64,2077.34,2062.34,2071.92,3408340000,3359429000
1417789800,2072.78,2079.47,2070.81,2075.37,3419620000,3346921500
1418049000,2074.84,2075.78,2054.27,2060.31,3800990000,3351757000
1418135400,2056.55,2060.6,2034.17,2059.82,3970150000,3386017500
1418221800,2058.86,2058.86,2024.26,2026.14,4114440000,3443823500
1418308200,2027.92,2055.53,2027.92,2035.33,3917950000,3477388500
