index,Price_1,Price_2,Spread,z_score,z_score_evol,z_score_avg_week,avg_volatility,correlation,corr_evol,month,week,target
32,236.34,92.53,0.0136253109477707,0.2584612177084813,-1.864283386804628,1.8361129830453309,0.268131780386318,-0.3142324034159552,-0.0908735651135095,9,37,0
33,248.1,94.56,0.0116646317097067,0.0294312394992656,0.2748820181525842,0.0618500771914252,0.2756349790623881,-0.5254788285859283,0.0161701915996671,9,38,0
34,246.73,92.46,0.0073487689041008,-0.2744381344429227,-0.4151679340463453,-0.098915074305324,0.2659335471013482,-0.6414743314848268,-0.0635850257566054,9,39,0
35,244.23,87.15,0.0212635483772258,0.2308126915808519,0.3221565244827906,-0.1461952799087618,0.2632474717323064,-0.8207726199052704,-0.003689398826038,10,40,0
36,232.95,84.17,-0.0054262304080144,-1.3917348352626313,-0.0203679121915707,-0.7211463868973654,0.2899450242826908,-0.3841408503994726,0.1836151430642013,10,41,0
37,228.28,82.335,0.0007779864312831,-0.7574652892284891,0.0381990585435102,-0.9478157406096336,0.2663593308403582,0.5280456807982998,0.3357348733345366,10,42,-1
38,213.15,79.03,-0.011990018995698,-2.208217267234604,-2.647235224227052,-0.7532431936557359,0.2939411430378313,0.8779779639996732,0.0427827016015148,10,43,-1
39,220.77,87.18,-0.0273701620798809,-2.0291545075738497,0.5851292840518831,-2.3504410267678235,0.3420134643466289,0.915283654879321,-0.0014020407601708,11,44,1
40,238.99,87.59,0.032402009944217,2.2115521504255504,1.393853672497488,0.2274847732530626,0.3645319545300469,0.8118758890744959,-0.008282175505446,11,45,0
41,237.61,89.48,-0.0117864640210485,-0.6484037125762792,-0.2974577841388496,0.0844681614565383,0.4088668587132386,0.6551828161573459,-0.0333956058096778,11,46,0
42,235.31,90.07,-0.0070785177930869,-0.1791093911049324,-0.0576137984177124,-0.187273619253887,0.4162739010799741,0.6524027535702297,-0.0001875038498545,11,48,0
43,242.07,93.51,-0.0039773079044214,0.0304927358963328,-0.1458585986041102,0.3814427746154876,0.4053496278944656,0.793257527488959,0.0195111623938697,12,49,1
44,246.84,88.64,0.0317028771682888,2.257912766080432,0.505252312913804,0.7479117324304434,0.4040648888823407,0.8538564973460794,0.0100710821237899,12,50,0
45,249.67,88.05,0.0078512106039981,0.0411529042368261,-1.1997388287970827,1.7430190817669182,0.3718217601192348,0.3095958162714207,-0.0684661470287031,12,51,0
46,248.14,84.34,0.0160261802510468,0.444143777273875,0.893053063667186,-0.0834764465251189,0.4175825525673079,0.0512738464779632,0.0303929520375718,12,52,0
47,230.96,80.73,-0.0121613628237922,-1.067104135726314,-0.9995779694096432,-0.3683595430210643,0.4304934625908372,-0.2353709404598861,-0.0079096371574476,1,1,0
48,249.52,88.61,-0.0068791931970782,-0.6142856337241005,0.6364189330063756,-1.2215723647862744,0.4227128274471282,0.0037671458431911,0.0275023403663936,1,2,0
49,255.33,88.81,0.0090173499817248,0.1000593808434654,-0.1373451041590533,0.0820156717134002,0.4264346265491073,0.2582504277709074,0.0661901397084187,1,3,0
50,267.94,97.67,-0.0203636098573638,-1.2274569747123674,-0.0740938088333842,-0.5987877196615092,0.4245604265710668,0.8296626634078378,0.0718297554751637,1,4,0
51,266.81,100.54,-0.0144131433650061,-0.7336077701883444,-0.2144640913251037,-1.036273711149248,0.4190426720897282,0.9102366288650704,0.0083681763851112,2,5,0
52,274.06,100.73,0.0108235974884446,1.2967707023979944,1.3424444792274477,0.2079416651840938,0.3643065340357942,0.9202970525170782,-0.0053297744765711,2,6,0
53,281.93,105.74,-0.0087848341665917,-0.1960107697883005,-0.9678729953326612,0.3450668147129506,0.2638928392234855,0.9625569223485738,0.0082410592731774,2,7,0
54,278.6,107.9,-0.0139423178683424,-0.8324988061893309,0.0041788225717263,-0.2470294220277803,0.2562535691841204,0.9676018505854108,-0.002611693452434,2,9,0
55,274.89,108.66,-0.008870426818061,-0.035470317413359,0.7910307801146019,-0.79311442495146,0.2459526002498669,0.8904702466346903,-0.0387640505339114,3,10,0
56,269.06,107.68,-0.0053751496083829,0.3715735119921096,-0.5023448743865753,0.5296388459533382,0.205586193857497,0.5027342890217069,-0.1251915060400978,3,11,1
57,293.84,109.15,0.0323730843134892,3.290909346168175,-0.1624048713989463,1.378534719741698,0.2488075525416632,0.1959642168631396,0.0457671059028489,3,12,0
58,292.16,105.25,0.0133114760544197,0.7909977628028712,0.1043733252223789,1.7597074775339725,0.2570302744297175,0.3566358448075999,-0.0393053728768699,3,13,0
59,305.79,108.28,0.0074763804866959,0.2167432378226926,-0.7633453720701371,0.8670848819264547,0.2695261600851788,0.0416061431793356,-0.0653602463011003,4,14,0
60,304.48,111.74,-0.0155249279143953,-0.9979565956185992,0.2316624556668163,-0.8441540713654163,0.2569997861200297,0.2944536383034345,0.0567654168460095,4,15,0
61,316.4,112.94,0.0120385875059788,0.3657852543965227,0.2463642484508356,-0.1144124347591891,0.2595718575726918,0.5249522727212375,0.0841855513184516,4,16,0
62,315.64,114.11,-0.0055203620840061,-0.768245752675717,-0.3079032840188886,-0.2957159197962261,0.2454487894128591,0.6455866465337374,-0.012557334946879,4,17,0
63,318.4,116.24,-0.004250871565106,-0.5294788652400204,0.0465704850368529,-0.936555026587298,0.2096880076936813,0.8368215240224225,0.0233699912085245,4,18,0
64,307.29,113.68,-0.0057530952583679,-0.4663699394539034,0.0306117503681397,-0.1360221213115844,0.190191613478046,0.8891577612675801,-0.0004024308889076,5,19,1
65,302.0,106.75,0.0197746967427907,1.9699013496273503,0.1812694007598654,1.0019806577902777,0.2391254925749237,0.8556141643650534,0.0375908672327255,5,20,0
66,275.33,99.88,-0.011264058172951,-1.283331206080513,-0.8478334841801769,0.4867840777017148,0.3048454671298475,0.9328826575966572,0.032674200601803,5,21,0
67,254.12,98.11,-0.0270494301370033,-1.4417320242150602,0.1841887712760475,-2.1821595200149355,0.3048821849414946,0.9411511675255076,0.0050521751117773,5,22,0
68,265.72,99.87,0.0116636229430473,0.9723143187899852,0.5693599557332552,0.3827307691175616,0.3439723277783704,0.9507082728175842,-0.0007643402769597,6,23,0
69,279.73,104.37,0.0031741679735004,0.2277051400185079,-0.4446282078056955,0.7048429962044359,0.364975192604993,0.94218327241863,-0.0030307811480295,6,24,0
70,277.49,111.04,-0.0303954780523606,-1.378083039360125,-0.0564141922291141,-1.1057283047248716,0.4057850195040291,0.8461127488837973,-0.0417955397551608,6,25,0
71,281.44,110.87,0.0068038907704259,0.8130868113551122,0.6032141938363503,-0.284990980522645,0.3781564319464473,0.5927833914174907,0.0042325737136824,6,26,0
72,284.89,113.17,-0.0036258852519712,0.1659058432007754,-1.0207938786737325,1.13509105602493,0.3464687171226608,0.841953305974707,0.0330067022005294,7,27,0
73,276.06,113.92,-0.0165423819771179,-0.6489843199821718,0.9138892618855476,-0.8274535112379567,0.330397683112097,0.792187137136888,-0.0364508696421588,7,28,0
74,289.78,116.01,0.0131694739385565,0.9596457411474768,-0.1986046089640541,0.5627878415190279,0.3101523679106637,0.5867053376403971,-0.0354357593327888,7,29,0
75,300.39,122.18,-0.006887631205168,-0.0617440353139517,0.2775912681196257,0.3758485016934019,0.298742508079182,0.7504423553795124,0.1059999096276212,7,30,0
76,285.34,114.46,0.0060235652448688,0.5309294894225814,-0.0246485284490315,0.2044899436903773,0.2698693631156403,0.8299936222828761,-0.0044205038224925,8,31,0
77,270.98,112.33,-0.0142674357794037,-0.9769767744040004,-0.8580081290502186,-0.2998615895365381,0.2969113053741972,0.8685531861826705,0.0044259014364953,8,32,0
78,268.64,108.45,0.011499642889249,1.112404160066246,0.8629827077263967,0.7146461417523582,0.3057786159509836,0.9444795227263292,0.0309234248533468,8,33,1
79,287.62,108.63,0.0289281799655944,2.4078799412963634,-0.5443556271272589,1.132062321397023,0.3122337850757656,0.9154252382268324,-0.0322950228862023,8,34,0
80,283.37,109.02,-0.0080216099274375,-0.9722706494612116,0.7039232564125443,0.0513003741271226,0.3364902484120945,0.8797382196633963,0.0009288267706337,8,35,0
81,291.91,112.67,-0.0014070138718734,-0.3682341418897826,-0.4317504598590906,-0.3520784497184006,0.3503044717733677,0.8101357505161526,-0.0346571770650749,9,36,-1
82,290.32,116.52,-0.0169641993731745,-1.681898263397194,-1.5577246675174987,-0.4630544457237592,0.3439450815710881,0.6625141941962104,0.0439470728889329,9,37,0
83,284.26,115.33,-0.0047030195641897,-0.4466395885790357,0.6236435967540206,-1.1692152301307932,0.3125602384486563,0.7144052503615999,0.0180112961858637,9,38,0
84,274.14,111.04,0.0007194956558882,0.0865373237410738,0.9078538781802226,-0.1541442267683221,0.2884920155976142,0.7050933615190381,-0.0137831641952211,9,39,0
85,281.43,113.03,0.0036837077528195,0.6086982731372995,0.0478730547529908,0.1612384962823755,0.2906866031066397,0.7062328062818969,0.0195884512861188,10,40,0
86,280.91,111.22,0.0062076459258256,0.993177861145364,-0.4947149658945522,1.2060703714520158,0.2784839959957551,0.7568565862815834,0.0041185626180632,10,41,1
87,286.73,109.48,0.0157540369620583,1.5756710421792448,-0.2560714440232203,1.3799488908045412,0.2513439411963322,0.7329170782451501,-0.0339403137784583,10,42,0
88,289.82,106.83,0.0152967777517177,1.3338407812354578,0.6485304916019105,0.7978195074929653,0.2699827276331228,0.541547964384235,-0.0911613850560624,10,43,0
89,296.59,109.37,-0.0001768318202763,-0.8836506103812787,-1.596516391389032,0.3218612208769985,0.2758927907012049,-0.0033426636884282,-0.167178424701214,11,44,0
90,313.41,113.02,0.0096992545626803,0.2888952741015926,0.7819237877720118,0.6601604875104012,0.2747849753651871,0.3735553102934599,0.1039786244592294,11,45,-1
91,312.91,113.4,-0.0021511584384153,-1.5045884609521594,0.9897806562961196,-1.6847375606207362,0.263448241809481,0.6626834692324962,0.0476543051928476,11,46,0
92,314.92,110.65,0.0134424364817262,0.6100991663906794,-1.7251725884314633,0.7221061695534853,0.2425222583376207,0.6182922219484062,-0.0600095561353324,11,47,0
93,310.72,111.26,-0.0082186718836035,-1.3418290525603624,0.7840237969955095,-1.6009489952903064,0.2388590912977131,0.7898841266668496,0.0124013276919791,12,49,0
94,314.38,114.62,-0.0078356471316559,-0.9239499839293468,0.3802340930191953,-1.142360877916229,0.221305042613342,0.7659712690230295,-0.0487992548078192,12,50,0
95,323.13,118.86,-0.0038529508035208,-0.4345398810625147,0.7042850451557361,-0.2270063574637049,0.2368015475100394,0.564977931754447,-0.1439641605809294,12,51,0
96,319.53,119.17,-0.0059968546282256,-0.4628896149392825,-0.6489224463747262,-0.1829862483008411,0.2263241925746203,0.6668631082315972,-0.0149020325436858,12,52,0
97,316.02,118.84,-0.0035927744502012,-0.0762390105497972,0.0529917840848006,-0.7237477240258332,0.2229755926141955,0.592975121745551,-0.0400456703222719,12,1,0
98,308.74,120.66,-0.0167223467679967,-1.474819467713226,-1.5707058677569756,0.0150712007857934,0.223029701429996,0.4964383274588559,-0.0304043839179292,1,2,0
99,303.14,117.51,0.0035388411665542,1.1394575513602458,1.0269124660682674,-0.9608477078205168,0.2262586070037587,0.1769529509059525,-0.0138313038825846,1,3,0
