TimeStamp,Mapping,RAW
,0 => E:BNP from 787,
,1 => E:BNP from EQUITY_L2_973,
2021-11-01T14:02:13.1878000Z,1,Q|367151||1635775246303711671|||||||0||||0|140213166904185||
2021-11-01T14:02:13.1878000Z,1,Q|367152||1635775333144449666||||||59.55|170|0|||0|||
2021-11-01T14:02:13.1878000Z,1,Q|367153||1635775324203406388||0||||||||||140213167297245||
2021-11-01T14:02:13.1878000Z,1,Q|367154||1635775333167273976|58.27|19|0|||||||||140213167297245||
2021-11-01T14:02:13.1878000Z,1,Q|367155||1635775330253327921||0||||||||||140213168452707||
2021-11-01T14:02:13.1878000Z,1,Q|367156||1635775333144449666|||||||0||||0|140213170275290||
2021-11-01T14:02:13.1878000Z,1,Q|367157||1635775238871915189||||||59.56|116|0|||0|||
2021-11-01T14:02:13.1878000Z,1,Q|367158||1635775241882665274|||||||0|||||140213170544463||
2021-11-01T14:02:13.1878000Z,1,Q|367159||1635775329157634463||0||||||||||140213171284060||
2021-11-01T14:02:13.1878000Z,1,Q|367160||1635775330248348305||0||||||||||140213179732698||
2021-11-01T14:02:13.2087000Z,1,Q|367161||1635775333184617502||||||59.56|98|0||||140213184636791||
2021-11-01T14:02:13.2087000Z,1,Q|367162||1635775333184664200||||||59.55|125|0|||0|140213184681009||
2021-11-01T14:02:13.2087000Z,1,Q|367163||1635775333137254770||0||||||||||140213184826050||
2021-11-01T14:02:13.2087000Z,1,Q|367164||1635775333187320014|59.53|69|0|||||||||140213187338525||
2021-11-01T14:02:13.2087000Z,1,Q|367165||1635775333188076901||||||59.55|170|0||||140213188094843||
2021-11-01T14:02:13.2375000Z,1,Q|367166||1635775333218743045|59.51|144|0|||||||||140213218763243||
2021-11-01T14:02:13.2427000Z,1,Q|367167||1635775333230341581|59.51|137|0|||||||||140213230360068||
2021-11-01T14:02:13.2602000Z,1,Q|367168||1635775333233929963||||||59.97|84|0||||140213233953504||
2021-11-01T14:02:13.2602000Z,1,Q|367169||1635775333238363271||||||59.62|90|0||||140213238380271||
2021-11-01T14:02:13.2602000Z,1,Q|367170||1635775333247946659||||||59.73|101|0||||140213247968204||
2021-11-01T14:02:13.2602000Z,1,Q|367171||1635775333188076901|||||||0|||||140213249165534||
2021-11-01T14:02:13.2942000Z,1,Q|367172||1635775333285080532||||||59.55|98|0||||140213285099669||
2021-11-01T14:02:13.3029000Z,1,Q|367173||1635775333286501133||||||59.55|170|0||||140213286517019||
2021-11-01T14:02:13.3029000Z,1,Q|367174||1635775333143546212||0||||||||||140213286596238||
2021-11-01T14:02:13.3029000Z,1,Q|367175||1635775333286570379|58.34|19|0|||||||||140213286596238||
2021-11-01T14:02:13.3196000Z,1,Q|367176||1635775333308610471||||||59.55|52|0||||140213308628039||
2021-11-01T14:02:13.3270000Z,1,Q|367177||1635775330239283621||0||||||||||140213309949297||
2021-11-01T14:02:13.3527000Z,1,Q|367178||1635775333341042145||||||59.55|52|0||||140213341059141||
2021-11-01T14:02:13.3527000Z,1,Q|367179||1635775333342037584||||||59.61|90|0||||140213342055890||
2021-11-01T14:02:13.3527000Z,1,Q|367180||1635775333342066335||||||59.55|35|0||||140213342084955||
2021-11-01T14:02:13.3629000Z,1,Q|367181||1635775333349580256||||||59.55|180|0||||140213349597745||
2021-11-01T14:02:13.3629000Z,1,Q|367182||1635775333353891185||||||59.55|68|0||||140213353909166||
2021-11-01T14:02:13.3629000Z,1,Q|367183||1635775333187320014||0||||||||||140213357133904||
2021-11-01T14:02:13.3629000Z,1,Q|367184||1635775333137825909||0||||||||||140213358236084||
